actor_common.dies,dies.,死了。
actor_data.aware_seen.keziah_mason,chortles in a croaking voice.,用嘎嘎的嗓音咯咯发笑。
actor_data.aware_seen.khephren,speaks in a hollow voice.,用空洞的声音说话。
actor_data.aware_seen.mi_go,speaks in a droning voice.,用嗡嗡的声音说话。
actor_data.aware_seen.mi_go_bio_engineer,speaks in a droning voice.,用嗡嗡的声音说话。
actor_data.aware_seen.mi_go_commander,speaks in a droning voice.,用嗡嗡的声音说话。
actor_data.aware_seen.mi_go_omega_sentinel,speaks in a droning voice.,用嗡嗡的声音说话。
actor_data.aware_seen.mummy,speaks in a hollow voice.,用空洞的声音说话。
actor_data.aware_seen.nitokris,speaks in a hollow voice.,用空洞的声音说话。
actor_data.aware_seen.ooze_lurking,makes a gurgling noise.,发出汩汩声。
actor_data.aware_seen.ooze_poison,makes a gurgling noise.,发出汩汩声。
actor_data.aware_seen.ooze_putrid,makes a gurgling noise.,发出汩汩声。
actor_data.aware_seen.pickman,growls.,低吼。
actor_data.aware_seen.pit_viper,hisses.,发出嘶嘶声。
actor_data.aware_seen.sentry_drone,makes a deep buzzing sound.,发出低沉的嗡鸣声。
actor_data.aware_seen.spitting_cobra,hisses.,发出嘶嘶声。
actor_data.aware_seen.troglodyte,shrieks.,发出尖叫。
actor_data.aware_seen.water_beast,snarls.,咆哮。
actor_data.aware_seen.water_hound,snarls.,咆哮。
actor_data.aware_seen.winged_zombie,growls.,低吼。
actor_data.aware_seen.wolf,snarls.,咆哮。
actor_data.aware_seen.zealot,screams in agony.,痛苦地尖叫。
actor_data.aware_seen.zombie,growls.,低吼。
actor_data.aware_seen.zuul,snarls.,咆哮。
actor_data.corpse_name_a.abaxu,the corpse of Abaxu,阿巴克苏的尸体
actor_data.corpse_name_a.abyssal_troglodyte,an Abyssal Troglodyte corpse,深渊穴居人的尸体
actor_data.corpse_name_a.ape,an Ape corpse,猿尸
actor_data.corpse_name_a.black_mamba,a Black Mamba corpse,黑曼巴尸体
actor_data.corpse_name_a.black_phillip,the carcass of Black Phillip,黑菲利普的尸骸
actor_data.corpse_name_a.bloated_zombie,a huge gruesome corpse,巨大的狰狞尸体
actor_data.corpse_name_a.bog_tcher,a Bog Tcher corpse,博格彻的尸体
actor_data.corpse_name_a.brown_jenkin,the corpse of Brown Jenkin,布朗·詹金的尸体
actor_data.corpse_name_a.byakhee,a Byakhee corpse,拜亚基的尸体
actor_data.corpse_name_a.chthonian,a Chthonian corpse,地底巨蠕兽的尸体
actor_data.corpse_name_a.croc_head_mummy,a lifeless Mummy,没有生命的木乃伊
actor_data.corpse_name_a.cultist,a Cultist corpse,邪教徒尸体
actor_data.corpse_name_a.cultist_arch_wizard,an Arch Wizard corpse,大巫师尸体
actor_data.corpse_name_a.cultist_priest,a Cultist Priest corpse,邪教祭司尸体
actor_data.corpse_name_a.cultist_wizard,a Wizard corpse,巫师尸体
actor_data.corpse_name_a.dean_halsey,the corpse of Dean Halsey,哈尔西院长的尸体
actor_data.corpse_name_a.deep_one,a corpse of a Deep One,深潜者的尸体
actor_data.corpse_name_a.failed_reanimation,a lifeless gruesome corpse,没有生命的狰狞尸体
actor_data.corpse_name_a.floating_skull,a Skull,骷髅头
actor_data.corpse_name_a.flying_polyp,a dead Polyp,死去的水螅体
actor_data.corpse_name_a.ghoul,a Ghoul corpse,食尸鬼尸体
actor_data.corpse_name_a.giant_bat,a Giant Bat corpse,巨蝠尸体
actor_data.corpse_name_a.giant_mantis,a Giant Mantis corpse,巨螳螂尸体
actor_data.corpse_name_a.glasuu,a Gla'Suu corpse,格拉苏尸体
actor_data.corpse_name_a.greater_polyp,a dead Polyp,死去的水螅体
actor_data.corpse_name_a.green_spider,a Green Spider corpse,绿蜘蛛尸体
actor_data.corpse_name_a.high_priest_guard_ghoul,the corpse of Vrka,弗尔卡的尸体
actor_data.corpse_name_a.high_priest_guard_rogue,the corpse of Uraga,乌拉加的尸体
actor_data.corpse_name_a.high_priest_guard_war_vet,the corpse of Balastha,巴拉斯塔的尸体
actor_data.corpse_name_a.hunting_horror,a Hunting Horror corpse,猎怖尸体
actor_data.corpse_name_a.keziah_mason,the corpse of Keziah Mason,凯齐娅·梅森的尸体
actor_data.corpse_name_a.khephren,the lifeless Mummy of Khephren,卡夫拉那没有生命的木乃伊
actor_data.corpse_name_a.leng_doomweaver,a Leng Doomweaver corpse,冷原织厄者尸体
actor_data.corpse_name_a.leng_matriarch,a Leng Matriarch corpse,冷原主母尸体
actor_data.corpse_name_a.leng_spider,a Leng Spider corpse,冷原蜘蛛尸体
actor_data.corpse_name_a.leviathan,the corpse of Leviathan,利维坦的尸体
actor_data.corpse_name_a.locust,a Giant Locust corpse,巨型蝗虫尸体
actor_data.corpse_name_a.major_clapham_lee,the corpse of Major Clapham-Lee,克拉珀姆-李少校的尸体
actor_data.corpse_name_a.mi_go,a Mi-Go corpse,米戈尸体
actor_data.corpse_name_a.mi_go_bio_engineer,a Mi-Go corpse,米戈尸体
actor_data.corpse_name_a.mi_go_commander,a Mi-Go corpse,米戈尸体
actor_data.corpse_name_a.mi_go_omega_sentinel,a Mi-Go corpse,米戈尸体
actor_data.corpse_name_a.mind_leech,a Mind Leech corpse,心智水蛭尸体
actor_data.corpse_name_a.mummy,a lifeless Mummy,没有生命的木乃伊
actor_data.corpse_name_a.niduza,the corpse of Niduza,尼杜扎的尸体
actor_data.corpse_name_a.nitokris,the lifeless Mummy of Nitokris,尼托克丽丝那没有生命的木乃伊
actor_data.corpse_name_a.pickman,the corpse of Richard Upton Pickman,理查德·厄普顿·皮克曼的尸体
actor_data.corpse_name_a.pit_viper,a Pit Viper corpse,坑蝰尸体
actor_data.corpse_name_a.primordial_worm,a dead Primordial Worm,死去的原初蠕虫
actor_data.corpse_name_a.rat,a Rat corpse,老鼠尸体
actor_data.corpse_name_a.rat_thing,a Rat-thing corpse,鼠怪尸体
actor_data.corpse_name_a.raven,a Raven carcass,渡鸦尸骸
actor_data.corpse_name_a.red_spider,a Red Spider corpse,红蜘蛛尸体
actor_data.corpse_name_a.sentry_drone,a broken Sentry Drone,损坏的哨戒无人机
actor_data.corpse_name_a.shapeshifter,a Shapeshifter corpse,变形者尸体
actor_data.corpse_name_a.spitting_cobra,a Spitting Cobra corpse,喷毒眼镜蛇尸体
actor_data.corpse_name_a.transcendent_rat,a Rat corpse,老鼠尸体
actor_data.corpse_name_a.troglodyte,a Troglodyte corpse,穴居人尸体
actor_data.corpse_name_a.vampire_bat,a Vampire Bat corpse,吸血蝙蝠尸体
actor_data.corpse_name_a.white_spider,a White Spider corpse,白蜘蛛尸体
actor_data.corpse_name_a.winged_zombie,a lifeless gruesome corpse,没有生命的狰狞尸体
actor_data.corpse_name_a.wolf,a Wolf carcass,狼尸骸
actor_data.corpse_name_a.zealot,a Zealot corpse,狂信徒尸体
actor_data.corpse_name_a.zombie,a lifeless gruesome corpse,没有生命的狰狞尸体
actor_data.corpse_name_a.zuul,the corpse of Zuul the Gatekeeper,守门者祖尔的尸体
actor_data.corpse_name_the.abaxu,the corpse of Abaxu,阿巴克苏的尸体
actor_data.corpse_name_the.abyssal_troglodyte,the Abyssal Troglodyte corpse,深渊穴居人的尸体
actor_data.corpse_name_the.ape,the Ape corpse,猿尸
actor_data.corpse_name_the.black_mamba,the Black Mamba corpse,黑曼巴尸体
actor_data.corpse_name_the.black_phillip,the carcass of Black Phillip,黑菲利普的尸骸
actor_data.corpse_name_the.bloated_zombie,the huge gruesome corpse,巨大的狰狞尸体
actor_data.corpse_name_the.bog_tcher,the Bog Tcher corpse,博格彻的尸体
actor_data.corpse_name_the.brown_jenkin,the corpse of Brown Jenkin,布朗·詹金的尸体
actor_data.corpse_name_the.byakhee,the Byakhee corpse,拜亚基的尸体
actor_data.corpse_name_the.chthonian,the Chthonian corpse,地底巨蠕兽的尸体
actor_data.corpse_name_the.croc_head_mummy,the lifeless Mummy,没有生命的木乃伊
actor_data.corpse_name_the.cultist,the Cultist corpse,邪教徒尸体
actor_data.corpse_name_the.cultist_arch_wizard,the Arch Wizard corpse,大巫师尸体
actor_data.corpse_name_the.cultist_priest,the Cultist Priest corpse,邪教祭司尸体
actor_data.corpse_name_the.cultist_wizard,the Wizard corpse,巫师尸体
actor_data.corpse_name_the.dean_halsey,the corpse of Dean Halsey,哈尔西院长的尸体
actor_data.corpse_name_the.deep_one,the corpse of a Deep One,深潜者的尸体
actor_data.corpse_name_the.failed_reanimation,the lifeless gruesome corpse,没有生命的狰狞尸体
actor_data.corpse_name_the.floating_skull,the Skull,骷髅头
actor_data.corpse_name_the.flying_polyp,the dead Polyp,死去的水螅体
actor_data.corpse_name_the.ghoul,the Ghoul corpse,食尸鬼尸体
actor_data.corpse_name_the.giant_bat,the Giant Bat corpse,巨蝠尸体
actor_data.corpse_name_the.giant_mantis,the Giant Mantis corpse,巨螳螂尸体
actor_data.corpse_name_the.glasuu,the Gla'Suu corpse,格拉苏尸体
actor_data.corpse_name_the.greater_polyp,the dead Polyp,死去的水螅体
actor_data.corpse_name_the.green_spider,the Green Spider corpse,绿蜘蛛尸体
actor_data.corpse_name_the.high_priest_guard_ghoul,the corpse of Vrka,弗尔卡的尸体
actor_data.corpse_name_the.high_priest_guard_rogue,the corpse of Uraga,乌拉加的尸体
actor_data.corpse_name_the.high_priest_guard_war_vet,the corpse of Balastha,巴拉斯塔的尸体
actor_data.corpse_name_the.hunting_horror,the Hunting Horror corpse,猎怖尸体
actor_data.corpse_name_the.keziah_mason,the corpse of Keziah Mason,凯齐娅·梅森的尸体
actor_data.corpse_name_the.khephren,the lifeless Mummy of Khephren,卡夫拉那没有生命的木乃伊
actor_data.corpse_name_the.leng_doomweaver,the Leng Doomweaver corpse,冷原织厄者尸体
actor_data.corpse_name_the.leng_matriarch,the Leng Matriarch corpse,冷原主母尸体
actor_data.corpse_name_the.leng_spider,the Leng Spider corpse,冷原蜘蛛尸体
actor_data.corpse_name_the.leviathan,the corpse of Leviathan,利维坦的尸体
actor_data.corpse_name_the.locust,the Giant Locust corpse,巨型蝗虫尸体
actor_data.corpse_name_the.major_clapham_lee,the corpse of Major Clapham-Lee,克拉珀姆-李少校的尸体
actor_data.corpse_name_the.mi_go,the Mi-Go corpse,米戈尸体
actor_data.corpse_name_the.mi_go_bio_engineer,the Mi-Go corpse,米戈尸体
actor_data.corpse_name_the.mi_go_commander,the Mi-Go corpse,米戈尸体
actor_data.corpse_name_the.mi_go_omega_sentinel,the Mi-Go corpse,米戈尸体
actor_data.corpse_name_the.mind_leech,the Mind Leech corpse,心智水蛭尸体
actor_data.corpse_name_the.mummy,the lifeless Mummy,没有生命的木乃伊
actor_data.corpse_name_the.niduza,the corpse of Niduza,尼杜扎的尸体
actor_data.corpse_name_the.nitokris,the lifeless Mummy of Nitokris,尼托克丽丝那没有生命的木乃伊
actor_data.corpse_name_the.pickman,the corpse of Richard Upton Pickman,理查德·厄普顿·皮克曼的尸体
actor_data.corpse_name_the.pit_viper,the Pit Viper corpse,坑蝰尸体
actor_data.corpse_name_the.primordial_worm,the dead Primordial Worm,死去的原初蠕虫
actor_data.corpse_name_the.rat,the Rat corpse,老鼠尸体
actor_data.corpse_name_the.rat_thing,the Rat-thing corpse,鼠怪尸体
actor_data.corpse_name_the.raven,the Raven carcass,渡鸦尸骸
actor_data.corpse_name_the.red_spider,the Red Spider corpse,红蜘蛛尸体
actor_data.corpse_name_the.sentry_drone,the broken Sentry Drone,损坏的哨戒无人机
actor_data.corpse_name_the.shapeshifter,the Shapeshifter corpse,变形者尸体
actor_data.corpse_name_the.spitting_cobra,the Spitting Cobra corpse,喷毒眼镜蛇尸体
actor_data.corpse_name_the.transcendent_rat,the Rat corpse,老鼠尸体
actor_data.corpse_name_the.troglodyte,the Troglodyte corpse,穴居人尸体
actor_data.corpse_name_the.vampire_bat,the Vampire Bat corpse,吸血蝙蝠尸体
actor_data.corpse_name_the.white_spider,the White Spider corpse,白蜘蛛尸体
actor_data.corpse_name_the.winged_zombie,the lifeless gruesome corpse,没有生命的狰狞尸体
actor_data.corpse_name_the.wolf,the Wolf carcass,狼尸骸
actor_data.corpse_name_the.zealot,the Zealot corpse,狂信徒尸体
actor_data.corpse_name_the.zombie,the lifeless gruesome corpse,没有生命的狰狞尸体
actor_data.corpse_name_the.zuul,the corpse of Zuul the Gatekeeper,守门者祖尔的尸体
actor_data.death.clear_mold,is destroyed.,被摧毁。
actor_data.death.ghastly_light,fades out.,渐渐熄灭。
actor_data.death.ghost,is put to rest.,得以安息。
actor_data.death.mirror_image,fades.,渐渐消散。
actor_data.death.mold,is destroyed.,被摧毁。
actor_data.death.mold_halluc,is destroyed.,被摧毁。
actor_data.death.ooze_lurking,disintegrates.,崩解。
actor_data.death.ooze_poison,disintegrates.,崩解。
actor_data.death.ooze_putrid,disintegrates.,崩解。
actor_data.death.shadow,fades.,渐渐消散。
actor_data.death.strange_color,disintegrates.,崩解。
actor_data.death.tentacle_cluster,is destroyed.,被摧毁。
actor_data.death.warping_aberrance,is destroyed.,被摧毁。
actor_data.death.wraith,is put to rest.,得以安息。
actor_data.death.zuul,vanishes...,消失了……
actor_data.description.abaxu,"A colossal white bat, spoken of in ancient traditions as ""Abaxu the Destroyer"" (or a variation thereof). It has eternal life, which it sustains by feeding on other creatures - allegedly including human sacrifice. This has surely given rise to certain vampire myths over the years.",一只巨大的白色蝙蝠，在古老传说中被称为“毁灭者阿巴克苏”（或类似称呼）。它拥有永恒的生命，并靠吞食其他生物来维系，据说其中也包括人类祭品。多年来，这无疑催生了若干吸血鬼传说。
actor_data.description.abyssal_troglodyte,"This sub-species has adapted to thriving in particularly deep environments where very little light reaches. They are even more fierce than their counterparts who dwell closer to the surface. Their mouths are set with rows of serrated teeth, well-adapted for cutting through flesh. However, they are cowardly opportunistic creatures, prefering to stalk lonely prey that they perceive as an easy target - when met with violence, they will usually retreat, at least for a moment.",这一亚种已经适应了在几乎没有光线抵达的极深环境中繁衍生息。它们比那些住在较近地表处的同类更加凶猛。它们口中排列着锯齿般的牙列，非常适合切割血肉。然而它们是胆怯的机会主义生物，偏好潜伏跟踪那些被视为容易下手的孤单猎物；一旦遭遇暴力反抗，通常会退却，至少会暂时退开。
actor_data.description.air_beast,"Rushed from storm and cloud by nefarious wizardry, it has been endowed with animation in the form of a dreadful beast. Its breath exhales bolts of lightning.",邪恶巫术从风暴与云层中卷出它，并赋予其可怖野兽的活动形态。它的吐息喷出闪电。
actor_data.description.air_hound,"Rushed from storm and cloud by nefarious wizardry, it has been endowed with animation in the form of a dreadful hound. Its breath exhales bolts of lightning.",邪恶巫术从风暴与云层中卷出它，并赋予其可怖猎犬的活动形态。它的吐息喷出闪电。
actor_data.description.ape,An extremely aggressive species of great ape. Their pale skin and excellent night vision indicates that they adapted to subterranean life a very long time ago.,一种极端凶暴的大型猿类。苍白的皮肤和出色的夜视能力表明，它们在很久以前便已适应地下生活。
actor_data.description.black_mamba,"A fierce predator. It hisses menacingly, and venom drips from its fangs.",凶猛的掠食者。它威胁地嘶嘶作响，毒液从尖牙滴落。
actor_data.description.black_phillip,"Black Phillip is a malevolent goat of immense size, exuding a sinister aura. Its fur is as dark as coal, and its eyes shimmer with an eerie, otherworldly light. Despite its large size, Black Phillip's movements are quick and fluid, enabling it to lunge at its prey with deadly accuracy. The creature seems to take pleasure in using its formidable horns to bludgeon unsuspecting victims. Black Phillip is believed to be a manifestation of the devil himself.",黑菲利普是一头体型巨大的恶毒山羊，散发着阴森的气息。它的毛色漆黑如煤，眼中闪烁着怪异的异界光芒。尽管体型庞大，黑菲利普的动作却迅捷流畅，能以致命的精准扑向猎物。此物似乎乐于用可怕的角重击毫无防备的受害者。人们相信黑菲利普是恶魔本身的化身。
actor_data.description.bloated_zombie,"A walking cadaver of towering proportions, it seems to have had the skin of countless other bodies poorly sewn over that of its own. Festering wounds on its hulk continually disgorge a putrid liquid.",一具高大得骇人的行走尸骸，仿佛把无数其他尸体的皮肤粗劣地缝在自己身上。它庞大的身躯上溃烂伤口不断流出腐臭液体。
actor_data.description.bog_tcher,"A vile dwarfish creature, clad in coarse brown robes. It has a cruel grin on its pale face, and its eyes are gleaming with hatred. The Bog Tcher are mechanically inclined, which they put to use by crafting sadistic weapons and traps. Their favored weapon is their ""spike gun"", which can pin the target against solid objects for prolonged suffering.",一种卑劣的矮小生物，披着粗糙的棕色长袍。苍白脸上挂着残忍的笑容，眼睛闪烁着仇恨。博格彻擅长机械，它们将这种本领用于制造残虐的武器和陷阱。它们偏爱的武器是“尖钉枪”，能将目标钉在坚固物体上，使其长久受苦。
actor_data.description.brown_jenkin,"This man-rodent beast slinks through cracks in the church's walls and pounces on its victims, raking at their flesh with its undeveloped limbs. Being the black matron's mongrel of choice, it titters senselessly whenever it feasts on her blood.",这只半人半鼠的野兽沿着教堂墙缝潜行，扑向受害者，用发育不全的肢体撕挠血肉。作为黑色女主母偏爱的杂种，它每次啜饮她的黑血时，都会毫无理智地窃笑。
actor_data.description.byakhee,"""There flapped rhythmically a horde of tame, trained, hybrid winged things... not altogether crows, nor moles, nor buzzards, nor ants, nor decomposed human beings, but something I cannot and must not recall.""-H.P. Lovecraft, ""The Festival"".",“一群温顺、受训、混种的有翼之物有节奏地拍动着翅膀……既不完全像乌鸦，也不像鼹鼠、秃鹰、蚂蚁或腐烂的人类，而是某种我不能也不愿回忆的东西。”——H.P. 洛夫克拉夫特，《节日》。
actor_data.description.chthonian,"It resembles an immense squid, with reaching, groping tentacles, and a pulpy, elongated sack of a body. Chthonians are powerful burrowers, and live for more than a thousand years.",它像一只庞大的乌贼，伸出摸索的触手，身体则是柔软而细长的袋囊。地底巨蠕兽是强大的掘地者，寿命超过千年。
actor_data.description.clear_mold,"A sickly growth thriving in damp areas. It produces toxic spores which it stores in its slimy heads. Almost invisible to the naked eye, it spreads like a creeping pestilence.",一种在潮湿地带繁盛的病态增生物。它会产生毒性孢子，并将其储存在黏滑的头部。肉眼几乎不可见，却像蔓延的瘟疫般扩散。
actor_data.description.corpse_mound,"Stitched together from a grotesque patchwork of decaying flesh, this enormous form looms like a nightmarish sentinel. Immobilized by its own unfathomable bulk, it lies dormant, a testament to the macabre experiments that birthed it. Putrid fluids seep from its bloated mass, forming stagnant pools that emit a sickening stench of decay.",由腐烂血肉的怪诞拼缀缝合而成，这具庞然形体像噩梦般的哨卫般矗立。它被自身不可思议的臃肿体量固定在原地，蛰伏不动，仿佛见证了孕育它的可怖实验。腐败液体从肿胀躯体中渗出，形成散发病态腐臭的死水坑。
actor_data.description.crawling_hand,"A disembodied hand, crawling around frantically on its fingertips like a spider.",一只脱离身体的手，像蜘蛛一样用指尖疯狂爬行。
actor_data.description.croc_head_mummy,"A grotesque mummified hybrid creature, with the body of a human and the head of a crocodile. It is wielding a spear.",一具怪诞的木乃伊混种，人体之上长着鳄鱼头。它手持长矛。
actor_data.description.cultist,"A fanatic cultist of the lowest rank, madly gibbering in some half-lost language. They may occasionally have learned to cast a spell or two, although never with any great skill. Therefore they tend to rely on mundane firearms to handle threats.",最低阶的狂热邪教徒，用某种半失传的语言疯狂胡言。他们偶尔可能学会施放一两个法术，但从不精通。因此，他们往往依赖凡俗火器来处理威胁。
actor_data.description.cultist_arch_wizard,"A fanatic cultist of the Arch Wizard rank, madly gibbering in some half-lost language.",大巫师阶级的狂热邪教徒，用某种半失传的语言疯狂胡言。
actor_data.description.cultist_priest,"A fanatic cultist of the Priest rank, madly gibbering in some half-lost language.",祭司阶级的狂热邪教徒，用某种半失传的语言疯狂胡言。
actor_data.description.cultist_wizard,"A fanatic cultist of the Wizard rank, madly gibbering in some half-lost language.",巫师阶级的狂热邪教徒，用某种半失传的语言疯狂胡言。
actor_data.description.dean_halsey,"Once an influential figure at the forefront of a prestigious institution, this fetid carcass now prowls among an army of the dead.",它曾是名望机构前沿的一位有影响力人物，如今这具腐臭尸骸却在亡者大军中徘徊。
actor_data.description.death_fiend,"A living incarnation of death. With its goat-like features, it is eerily similar to the imagery of Devils and Demons seen in medieval woodcuts.",死亡的活化身。它有着山羊般的特征，诡异地类似中世纪木刻中魔鬼与恶魔的形象。
actor_data.description.deep_one,"A shambling thing which could be taken for a man were it not for its briny whiff and scaly skin. Slits on its neck emit a labored inflection, marking its struggle to gulp at breathable air. It hoists a rust-eaten spear and a net through which the thrashing remains of its last feast can be seen.",若不是那股咸腥气和覆鳞皮肤，这个蹒跚之物或许会被当成人。它颈侧裂缝发出吃力的喘音，显示它正艰难吞咽可呼吸的空气。它举着锈蚀长矛和一张网，网中可见上一顿猎物仍在抽搐的残骸。
actor_data.description.dust_vortex,A spinning force of destruction.,一股旋转的毁灭力量。
actor_data.description.earth_beast,"Forged from stone and soil by nefarious wizardry, it has been endowed with animation in the form of a dreadful beast. Its breath exhales an overwhelming density, a manifestation of pure weight and relentless impact.",邪恶巫术以石与土铸成它，并赋予其可怖野兽的活动形态。它的吐息喷出压倒性的密度，那是纯粹重量与无情冲击的显现。
actor_data.description.earth_hound,"Forged from stone and soil by nefarious wizardry, it has been endowed with animation in the form of a dreadful hound. Its breath exhales an overwhelming density, a manifestation of pure weight and relentless impact.",邪恶巫术以石与土铸成它，并赋予其可怖猎犬的活动形态。它的吐息喷出压倒性的密度，那是纯粹重量与无情冲击的显现。
actor_data.description.elder_void_traveler,"A nightmarish creature of humanoid shape. It has a hideous gangly physique and sickly pale skin. Its arms are as long as its body is tall, and it attacks with ripping claws. It can seemingly appear anywhere at any time, and can also snatch teleporting creatures from their voyage and draw them to it. This ancient individual has learned the art of spellcasting.",一种人形的噩梦生物。它体态畸长可憎，皮肤病态苍白。双臂与身高等长，以撕裂的爪击攻击。它似乎能在任何时间出现在任何地点，也能从传送旅程中攫住正在传送的生物，将其拖到自己身边。这个古老个体学会了施法技艺。
actor_data.description.energy_vortex,A spinning force of pure energy.,一股纯能量的旋转力量。
