manual.gameplay_commands.title,Gameplay commands,游戏命令
manual.information_on_the_game_screen.p007,"   Insanity        12% : Your level of insanity
                         See ""Insanity"" for more info","   Insanity        12% : 你的疯狂程度
                         更多信息见“疯狂”"
manual.information_on_the_game_screen.p008,   Wpn    (+1) 8.0 +0% : Your currently wielded weapon,   Wpn    (+1) 8.0 +0% : 你当前持用的武器
manual.information_on_the_game_screen.p009,"                         ""(+1)"" means that this weapon does one extra point of
                         damage compared to normal weapons of the same type","                         “(+1)”表示这件武器比同类普通武器多造成
                         1 点伤害"
manual.information_on_the_game_screen.p010,"                         ""8.0"" is your average damage with this weapon
                         (including skills affecting the damage)","                         “8.0”是你使用这件武器的平均伤害
                         （包括影响伤害的技能）"
manual.information_on_the_game_screen.p011,"                         ""+0%"" is this weapon's hit chance modifier (the total
                         hit chance is affected by several other factors, such
                         as your character's skill and the creature attacked)","                         “+0%”是这件武器的命中修正（总命中率还会
                         受到其他因素影响，例如你的角色技能和
                         被攻击生物的情况）"
manual.information_on_the_game_screen.p012,"   Alt     8.5 +0% 4/7 : Your prepared (alternative) weapon
   
                         The weapon in this example is a firearm, ""5/6"" is the
                         weapon's loaded and maximum ammunition","   Alt     8.5 +0% 4/7 : 你的预备（备用）武器
   
                         本例中的武器是火器，“5/6”表示武器的
                         已装填弹药和最大弹药"
manual.information_on_the_game_screen.p013,"   Lantern         100 : Remaining number of turns that your Electric Lantern
                         can be used for",   Lantern         100 : 电提灯还可使用的剩余回合数
manual.information_on_the_game_screen.p014,"   Med. Suppl.      24 : Remaining Medical Bag Supplies
                         See ""Hit Points, Wounds and healing"" for more info","   Med. Suppl.      24 : 医疗包补给的剩余数量
                         更多信息见“生命值、创伤和治疗”"
manual.information_on_the_game_screen.p015,"   Armor             3 : Armor Points
                         Each point reduces physical damage taken by 1","   Armor             3 : 护甲点数
                         每点可减少 1 点受到的物理伤害"
manual.information_on_the_game_screen.p016,"   Weight          40% : Encumbrance from carrying items
                         From 100% you move at half speed, and from 125% you
                         cannot move at all","   Weight          40% : 携带物品造成的负重
                         从 100% 起你的移动速度减半，从 125% 起
                         完全无法移动"
manual.information_on_the_game_screen.p017,"   Turn            123 : Current standard turn number
                         Note that the player can sometimes act more or less
                         often than these turns are ticking (e.g. if they have
                         the ""hasted"" or ""slowed"" effects applied)","   Turn            123 : 当前标准回合数
                         注意，玩家有时行动频率会比这些回合更高或更低
                         （例如受到“加速”或“减速”效果时）"
manual.information_on_the_game_screen.p018,   Blind               : You are currently blind,   Blind               : 你当前失明
manual.information_on_the_game_screen.p019,   Diseased            : You are currently diseased,   Diseased            : 你当前患病
manual.information_on_the_game_screen.p020,"The properties at the bottom can be temporary properties (e.g. from spells), PERMANENT intrinsic properties (printed in capital letters, e.g. ""CURSED""), or properties granted by wearing or wielding items.",底部的属性可以是临时属性（例如来自法术）、永久的内在属性（以大写字母显示，例如“CURSED”），或由穿戴、持用物品赋予的属性。
manual.inventory_handling.title,Inventory handling,物品栏操作
manual.inventory_handling.p001,The inventory can be accessed in four ways:,物品栏有四种打开方式：
manual.inventory_handling.p002,"   (1) Pressing ""i"" opens a full view of your inventory
Here, you can see all of your inventory slots (see below), and a complete list of your carried items. Selecting an inventory slot (with enter or a letter key), either puts away an existing item from the slot, or opens a list of items that you can equip in the slot.","   (1) 按“i”打开完整物品栏视图
在这里，你可以看到所有物品栏槽位（见下文），以及携带物品的完整列表。选择一个物品栏槽位（用 Enter 或字母键）时，会把该槽位已有物品收起，或打开可装备到该槽位的物品列表。"
manual.inventory_handling.p003,"Items are equipped in different inventory slots:
   * Wielded  - your currently used melee weapon or firearm
   * Prepared - the weapon to switch to when pressing ""z""
   * Body     - item worn on your body (e.g. an armor or a jacket)
   * Head     - item worn on your head (e.g. a gas mask)","物品装备在不同槽位中：
   * 持用     - 你当前使用的近战武器或火器
   * 预备     - 按“z”时切换到的武器
   * 身体     - 穿在身上的物品（例如护甲或夹克）
   * 头部     - 戴在头上的物品（例如防毒面具）"
manual.inventory_handling.p004,"   (2) Pressing ""a"" shows only items which you can ""activate"" or consume
This is merely a convenience feature - you can just as well use items by selecting them from the ""i"" screen, but with this method you get a nice filtered list so you can see at a glance which consumables you have.","   (2) 按“a”只显示可以“激活”或消耗的物品
这只是便利功能——你同样可以从“i”界面选择物品来使用，但此方法会给出一个筛选后的列表，方便一眼看出哪些消耗品可用。"
manual.inventory_handling.p005,"   (3) Pressing ""d"" opens a list to select an item to drop",   (3) 按“d”打开列表以选择要丢下的物品
manual.inventory_handling.p006,"   (4) Pressing ""t"" opens a list to select an item to throw
The item stack previously thrown from (if any) is shown at the top with the ""t"" key assigned (for convenience). If there is no stack previously thrown from, the ""t"" key is not assigned to any item. Selecting an item in this menu will show an aiming marker on the map, to select where to throw the chosen item.","   (4) 按“t”打开列表以选择要投掷的物品
之前投掷过的物品堆（如果有）会显示在顶部，并为方便起见分配“t”键。如果没有之前投掷过的物品堆，“t”键不会分配给任何物品。在此菜单中选择物品后，会在地图上显示瞄准标记，用来选择投掷位置。"
manual.inventory_handling.p007,"Note that explosives are not used like throwing weapons. Instead they are used by first igniting or priming the explosive, this is done by ""activating"" it (can be done from the ""a"" inventory screen, see above) - now you can see your character colored yellow as a warning that you are holding an ignited explosive. Press ""t"", and aim somewhere (in some cases the game will mark the area around your aim position to indicate the explosion size - be careful though, there may be unseen objects blocking the throw path). Press ""t"" again to throw the explosive toward the aim position.",注意，爆炸物不能像投掷武器那样使用。必须先点燃或启动爆炸物，这是通过“激活”它完成的（可从“a”物品栏界面执行，见上文）——此时你会看到角色变为黄色，警告你正拿着已点燃的爆炸物。按“t”，瞄准某处（某些情况下，游戏会在瞄准位置周围标记爆炸范围——但要小心，投掷路径上可能有看不见的物体阻挡）。再次按“t”即可把爆炸物投向瞄准位置。
manual.inventory_handling.p008,"In any inventory screen, you can see percentage values to the far right of each item. This is how many percent of your total carried weight that each item takes (the numbers roughly adds up to 100%, but there will be rounding errors, since decimals are not shown). So if you are overburdened, an item with a high percentage value might be a good candidate to drop.",在任何物品栏界面中，你都可以在每件物品最右侧看到百分比数值。这表示该物品占你总携带重量的百分比（这些数字大致加起来为 100%，但由于不显示小数，会有舍入误差）。因此，如果你负重过重，百分比较高的物品可能是适合丢弃的候选。
manual.hit_points_wounds_and_healing.title,"Hit Points, Wounds and healing",生命值、创伤和治疗
manual.hit_points_wounds_and_healing.p001,The state of your physical health is described in two ways:,你的身体健康状态以两种方式描述：
manual.hit_points_wounds_and_healing.p002,"   (1) Hit Points (HP)
This represents minor injuries such as bruises, sprains, or light bleeding - and also general combat morale, fatigue, stance, etc. If your Hit Points reach 0, it means you received a killing blow, or the circumstances are such that you can no longer fight back (you are fallen, pinned or completely exhausted). Hit Points usually regenerate automatically over time.","   (1) 生命值（HP）
这表示擦伤、扭伤、轻微出血等较轻伤势，也包括一般战斗士气、疲劳、姿态等。如果生命值降到 0，表示你受到了致命一击，或处境已使你无法继续反击（倒地、被压制或完全筋疲力尽）。生命值通常会随时间自动恢复。"
manual.hit_points_wounds_and_healing.p003,"   (2) Wounds
This represents more serious long-term damage. Wounds are received when you take a high amount of damage in one hit. Each Wound reduces your fighting abilities, maximum HP, and HP regeneration rate. Five concurrent wounds results in death.","   (2) 创伤
这表示更严重的长期伤害。当你单次受到大量伤害时会获得创伤。每个创伤都会降低你的战斗能力、最大生命值和生命值恢复速度。五个并存创伤会导致死亡。"
manual.hit_points_wounds_and_healing.p004,"There is an item called a ""Medical Bag"", which has a certain number of ""supplies"". When activated, it can be used to either sanitize an infection, treat a WOUND, or do a quick patch-up that restores some Hit Points. When bitten or clawed by certain monsters, you can become Infected; This should be treated before the infection turns into a disease! Treating infections or doing a quick patch-up only require a few supplies, while treating wounds requires more.",有一种名为“医疗包”的物品，带有一定数量的“补给”。激活后，可用于消毒感染、治疗创伤，或进行快速包扎以恢复一些生命值。被某些怪物咬伤或抓伤时，你可能会受到感染；这应在感染发展成疾病之前治疗！治疗感染或快速包扎只需要少量补给，而治疗创伤需要更多。
manual.spirit_and_spell_casting.title,Spirit and spell casting,精神和施法
manual.spirit_and_spell_casting.p001,"In addition to your physical and mental health, you have an ""essence"" - or Spirit - to preserve. If you lose all your Spirit, you are dead.",除了身体和心理健康之外，你还有一种需要保全的“精华”——精神。如果失去所有精神，你就会死亡。
manual.spirit_and_spell_casting.p002,"Your Spirit Points are shown like this:
   Spirit   Current/Max","你的精神点显示如下：
   Spirit   当前/最大"
manual.spirit_and_spell_casting.p003,"You can learn spells by casting them from manuscripts. Casting spells ""naturally"" (without manuscripts) will drain some of your spirit.",你可以通过手稿施放法术来学习法术。“自然地”施放法术（不使用手稿）会消耗一些精神。
manual.spirit_and_spell_casting.p004,"To cast memorized spells, press ""x"" to open a menu for selecting which spell to cast. In this menu you can see the Spirit cost per spell (the cost is a range of values, and the spirit drained is a random value in this range), and your skill level for each spell (Occultist characters can learn to cast spells at higher levels by picking certain traits).",要施放已记忆的法术，按“x”打开菜单选择要施放的法术。在此菜单中，你可以看到每个法术的精神消耗（消耗是一个数值范围，实际消耗会在此范围内随机确定），以及你对每个法术的技能等级（秘术师角色可以通过选择某些特质学习以更高等级施法）。
manual.spirit_and_spell_casting.p005,"When casting a spell, you will get a warning if the spell could potentially drain all your remaining Spirit. You can then press y/n to attempt casting or abort. Casting the spell in this situation is a gamble with death.",施放法术时，如果该法术可能耗尽你剩余的全部精神，你会收到警告。然后可以按 y/n 尝试施放或中止。在这种情况下施法就是一场以死亡为赌注的赌博。
manual.spirit_and_spell_casting.p006,"There are also other ways you can lose Spirit, for example some monsters can drain your Spirit with their attacks.",你也可能通过其他方式失去精神，例如某些怪物可以通过攻击吸取你的精神。
manual.insanity.title,Insanity,疯狂
manual.insanity.p001,"""A few steps more, and our breaths were literally snatched from us by what we saw; so literally that Thornton, the psychic investigator, actually fainted in the arms of the dazed man who stood behind him. Norrys, his plump face utterly white and flabby, simply cried out inarticulately; whilst I think that what I did was to gasp or hiss, and cover my eyes. The man behind me - the only one of the party older than I - croaked the hackneyed ""My God!"" in the most cracked voice I ever heard. Of seven cultivated men, only Sir William Brinton retained his composure; a thing the more to his credit because he led the party and must have seen the sight first.""-H.P. Lovecraft, ""Rats in the Walls""",“再多走几步，我们的呼吸就真的被眼前所见夺走了；如此真实，以至于那位通灵调查员桑顿竟在站在他身后的茫然男子怀中昏厥。诺里斯那张丰满的脸变得惨白而松弛，只是语无伦次地喊叫；而我想，我自己只是倒抽气或嘶声喘息，并遮住了眼睛。我身后的那个人——队伍中唯一比我年长者——用我听过最破碎的声音嘶哑地喊出那句陈腐的‘我的上帝！’七位有教养的人中，只有威廉·布林顿爵士保持镇定；这更值得称道，因为他带领着队伍，必定最先看见那景象。”——H.P. 洛夫克拉夫特，《墙中鼠》
manual.insanity.p002,"Certain events in this game affects the sanity and composure of your character. One of the main threats to your mental health are the various horrifying creatures that inhabit the game world. When inside your view, some creatures may cause a vague unease, while others are very disturbing to behold. Your mind also takes a hit when you use occult powers, carry weird artifacts, or stand in darkness, etc. Finally, there is a slow perpetual taxing of your mind from exploring and dwelling in this haunted dungeon.",游戏中的某些事件会影响你角色的理智和镇定。对心理健康的主要威胁之一，是栖息在游戏世界中的各种恐怖生物。当它们在你的视野内时，有些生物可能只会造成隐约不安，而另一些则令人极度不适。使用秘术力量、携带怪异神器、站在黑暗中等情况也会冲击你的心智。最后，在这座闹鬼地下城中探索和逗留，会持续缓慢地消耗你的心神。
manual.insanity.p003,"Your mental health is represented by two percentage values:
   * ""Shock"" is your level of stress and paranoia in the current situation
   * ""Insanity"" is long term, permanent madness","你的心理健康由两个百分比数值表示：
   * “Shock”是你在当前处境中的压力和偏执程度
   * “Insanity”是长期、永久的疯狂"
manual.insanity.p004,"When various disturbing events occur, the shock value rises. When shock hits 100%, the following happens:
   * You react somehow (scream, laugh, faint, babble, gain a phobia...)
   * The shock value is restored
   * Insanity rises","当各种令人不安的事件发生时，震惊值会上升。当震惊达到 100% 时，会发生以下事情：
   * 你会产生某种反应（尖叫、大笑、昏厥、胡言乱语、获得恐惧症……）
   * 震惊值会被重置
   * 疯狂值会上升"
manual.insanity.p005,"Each time you travel to the next dungeon level, your shock is restored (you have escaped the horrors above, and are bestowed with a sense of progress). Also, standing in a lit area reduces your shock a bit (most characters start with an Electric Lantern, which can be useful to prevent shock from rising too high).",每次你前往下一层地下城时，震惊值都会恢复（你逃离了上方的恐怖，并获得了前进的感觉）。此外，站在有光照的区域会稍微降低震惊值（大多数角色开局都有电提灯，可用于防止震惊升得过高）。
manual.insanity.p006,"If your Insanity reaches 100%, you are hopelessly lost, and the game is over.",如果疯狂值达到 100%，你就彻底迷失，游戏结束。
manual.sneaking_and_backstabbing.title,Sneaking and backstabbing,潜行和背刺
manual.sneaking_and_backstabbing.p001,"Monsters unaware of your presence have a blue background on their map icon. This is their default mode. While in this state they may roam the map, but they will not actively search for you or purposefully attack you. If you attack an unaware opponent in melee, the attack does +50% extra damage, and has a very high chance to hit.",未察觉你存在的怪物，其地图图标会带有蓝色背景。这是它们的默认状态。在此状态下，它们可能在地图上游荡，但不会主动搜寻你或有意攻击你。如果你在近战中攻击一个未察觉的对手，攻击会造成 +50% 额外伤害，并且命中率非常高。
manual.sneaking_and_backstabbing.p002,"For each turn you spend in a monsters visual area (for monsters with sight - some monsters are naturally blind), there is a chance that it will either completely detect you, or become ""suspicious"". While suspicious, the monster has an increased chance of detecting you (watch out for messages about monsters looking ""wary"" or ""disturbed"").",你每在怪物的视觉范围内停留一回合（对于有视觉的怪物——有些怪物天生失明），它都有机会完全发现你，或变得“可疑”。处于可疑状态时，怪物发现你的几率会提高（留意怪物显得“警觉”或“受惊”的消息）。
manual.sneaking_and_backstabbing.p003,Some monsters have the ability to sneak as well. You automatically attempt to detect them while they are in your visual area.,有些怪物也具备潜行能力。当它们在你的视觉范围内时，你会自动尝试发现它们。
manual.sneaking_and_backstabbing.p004,"The chances of one creature detecting another are affected by:
   * Search skill
   * The hidden actor's sneak skill
   * Light and darkness
   * Distance","一个生物发现另一个生物的几率受到以下因素影响：
   * 搜索技能
   * 隐藏者的潜行技能
   * 光明和黑暗
   * 距离"
manual.sneaking_and_backstabbing.p005,"When you stay out of an aware monster's vision for a certain number of turns (and nothing else alerts it), it will ""forget"" about you. The number of turns this takes depends on the monster; A simple animal may only care for a couple of turns after it loses sight, while a human will remain aware longer.",当你离开一个已警觉怪物的视线若干回合（且没有其他事情惊动它）后，它会“忘记”你。所需回合数取决于怪物；简单动物在失去视线后可能只会在意几回合，而人类会保持更久的警觉。
manual.sneaking_and_backstabbing.p006,"Monsters also react to noise, and may disturb nearby monsters when becoming aware, alerting them to your presence. Medium and heavy melee weapons will make noise on attacks, so a light weapon might be more ideal for a stealthy combat approach. Some sounds are louder than others, for example firing a gun or kicking down a door is likely to attract some attention.",怪物也会对噪音作出反应，并可能在察觉你时惊动附近怪物，使它们也知道你的存在。中型和重型近战武器攻击时会制造噪音，因此轻型武器可能更适合潜行战斗。一些声音比其他声音更响，例如开枪或踢倒一扇门很可能吸引注意。
manual.high_scores_and_memorial_files.title,High scores and memorial files,高分和纪念文件
manual.high_scores_and_memorial_files.p001,"Winning is not necessarily the sole purpose of Infra Arcana - there is also challenge to be found in exploring further, gaining more abilities, discovering more items, or encountering stranger and more powerful monsters than in previous attempts.",获胜不一定是 Infra Arcana 的唯一目的——深入探索、获得更多能力、发现更多物品，或遇到比以往尝试中更奇异、更强大的怪物，也同样存在挑战。
manual.high_scores_and_memorial_files.p002,"After each game is finished, information such as player name and dungeon level reached is stored in a ""memorial file"" on the disk, and a high score entry is added (unless you manually quit the game by pressing ""Q""). The high score list can be viewed by selecting the main menu option ""Graveyard"". Selecting a high score entry on this screen will show the corresponding stored memorial file.",每局游戏结束后，玩家姓名、抵达的地下城层级等信息会存储在磁盘上的“纪念文件”中，并添加一条高分记录（除非你按“Q”手动退出游戏）。高分列表可通过选择主菜单选项“墓园”查看。在此画面选择一条高分记录，会显示对应保存的纪念文件。
manual.high_scores_and_memorial_files.p003,"In addition to this, the top high score entries show up as gravestones on the first level of the game (in the forest). Bumping a gravestone shows a short summary of the high score entry.",此外，最高的几条高分记录会作为墓碑出现在游戏第一层（森林）中。撞上墓碑会显示这条高分记录的简短摘要。
manual.high_scores_and_memorial_files.p004,"Score values are calculated based on your experience points (including points gained after the maximum character level is reached), which is then multiplied by several factors.",分数值根据你的经验点计算（包括达到最高角色等级后获得的点数），然后乘以若干因素。
manual.high_scores_and_memorial_files.p005,"The factors contributing to a higher score value are:
   * Experience points gained
   * Dungeon level reached
   * Fewer turns spent
   * Lower insanity","影响更高分数值的因素包括：
   * 获得的经验点
   * 到达的地下城层级
   * 花费的回合数更少
   * 疯狂值更低"
manual.high_scores_and_memorial_files.p006,"Also, when winning the game, some large bonus factors are added. Every winning game is guaranteed to have a better score than any non-winning game.",此外，赢得游戏时还会加入一些很大的奖励因素。每一局获胜游戏都保证比任何未获胜游戏得分更高。
